,Business Id,Employee name,Employee ID,Hire date,Billing rate,Deleted
0,1,Brenda Colon,BRE888,12/26/1995,--,Yes
1,1,Brandi Thompson,BRA545,02/25/2007,--,No
2,1,Frank Hart,FRA101,06/04/2011,--,Yes
3,1,Brian Bernard,BRI343,05/16/2005,--,Yes
4,1,Heather Gonzales,HEA800,07/24/2002,--,No
5,1,Whitney Cooley,WHI349,01/27/2016,--,No
6,1,Alex Evans,ALE803,03/24/1991,--,Yes
7,1,Tricia Richardson,TRI397,12/06/2021,--,No
8,1,Angela Clayton,ANG366,03/09/2015,--,No
9,1,Judy Torres,JUD505,01/22/2002,--,No
10,1,Corey Silva,COR680,10/28/1990,--,No
11,1,Alyssa Sims,ALY309,02/23/2012,--,Yes
12,1,Sandra Holden,SAN222,04/16/2009,--,No
13,1,Darrell Phillips,DAR818,05/19/2023,--,Yes
14,1,Timothy Lara,TIM868,06/03/1995,--,No
15,1,Luis Rodriguez,LUI169,06/24/2012,--,No
16,1,Zachary Bennett,ZAC284,07/22/1995,--,Yes
17,1,Amanda Taylor,AMA721,08/18/2004,--,Yes
18,1,Pamela Mcdonald,PAM728,11/23/1994,--,Yes
19,1,Kristi Jones,KRI952,08/18/2022,--,No
20,1,Christina Anderson,CHR496,09/18/2010,--,No
21,1,Lisa Meyer,LIS502,06/13/1995,--,Yes
22,1,Derrick Kelley,DER551,11/24/1993,--,No
23,1,Regina Johnson,REG874,09/15/2013,--,No
24,1,Monica Malone,MON212,06/10/2003,--,No
25,1,Michelle George,MIC109,06/01/2009,--,No
26,1,Jason Ramirez,JAS473,03/04/1999,--,No
27,1,Cheryl Hughes,CHE374,04/01/2001,--,Yes
28,1,Mr. Christopher Smith,MR.992,11/03/1990,--,Yes
29,1,Erin Garcia,ERI622,07/03/2003,--,No
30,1,Brenda Mueller,BRE460,11/06/2021,--,No
31,1,William Johnson,WIL475,04/27/2009,--,Yes
32,1,Laura Smith,LAU992,01/08/2015,--,Yes
33,1,Laurie Mcdowell,LAU632,07/02/1990,--,No
34,1,Destiny Tate,DES394,04/17/2011,--,No
35,1,Stephanie George,STE728,10/22/2021,--,Yes
36,1,Brett Baldwin,BRE543,08/14/1996,--,No
37,1,Janet Kelley,JAN453,11/12/2021,--,Yes
38,1,Robin Dunn,ROB289,04/05/2008,--,No
39,1,Kristen Valdez,KRI391,01/18/1998,--,No
40,1,Brittany Kelly,BRI818,11/17/2003,--,Yes
41,1,James Hart,JAM311,03/24/1990,--,No
42,1,Mark Martinez,MAR643,08/10/1995,--,No
43,1,Willie Larson,WIL702,10/03/2021,--,No
44,1,Stacey Smith,STA752,07/03/2023,--,No
45,1,Gerald Stevenson,GER926,05/18/2020,--,No
46,1,Jessica Silva,JES980,09/24/2022,--,Yes
47,1,Jeremy Williams,JER573,09/08/2009,--,Yes
48,1,Martin Montoya,MAR814,04/10/2023,--,No
49,1,Amy Hill,AMY321,01/01/2009,--,Yes
50,1,John Moyer,JOH580,09/06/2007,--,No
